text	label
 I don't understand people they need to call the name on the side of the truck and threaten them. Is there no common sense	1
 😃😃😃	1
A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  	1
“: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  	1
On : Bugatti Veyron Gold digger surprise prank!!  SavedYouAClick	1
 boo	1
 spray can: 10usd cleaning: 250 used social media reach: priceless	1
 That is horrible! I would definitely try to find out who did that and press charges! Way to nice of a vehicle!	1
" ""scum... sub human scum"""	1
😛 😌 “: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  	1
“: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  	1
“: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  	1
 Yeah but the prick in the driver's seat is totally real.	1
Ugh “: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  	1
Translucent butterfly - beautiful! ' 	1
A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson:  	0
  Poor girl, How people can be so bad!? May she get better 🙏	0
 WOW SMH ☝️☝️ 	0
  Mixtape] Big Freeze &amp; G Nice - No Sleep Gang 2 (Reloaded)     dmv Annapolis maryland nosleepgang	0
 that's fucked up	0
  Tragic	0
_dohak  you need to get beheaded moron	0
  im betting that she regrets being amidst the chaos. bad choices....	0
 why is a pregnant women in a riot in Ferguson???	0
 You guys are known for making people sad &amp; angry!	0
  So what, she is just another black girl,who cares about blacks in USA.To white's, blacks were slaves and still are.shm	0
 maybe she shouldn't have been in the middle of the riot! I sure don't feel sorry for her!	0
 Petty	0
TW “: A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson:  ”	0
"  Fred Sanford ""YOU BIG DUMMY """	0
 mother fucking police. Land of the free more land of the nazi. Obama listen to your people	0
 : vito a m, why for ?	0
 the question is why can the police get away with anything???	0
 police brutality at its best.	0
 she shouldn't of been out  there protesting.	0
 😔😔😔🙏🙏💪	0
 but did she die ?	0
  probably shouldn't have been there to riot	0
  What difference does it make dip shirt...	0
 maybe don't go to a violent protest if you're pregnant?	0
 Shouldn't of been rioting/looting	0
 I'm thinkn this is possibly fake	0
  you should ban this shit. In Spain several people have lost their eyes or even die because of that	0
  Police suck! Criminals with a badge	0
 I don't know why he drove toward them. Shooting the tires &amp;not gas tank would've been the better course of action God bless them	0
  WE PRAY THE SISTER RECOVERS FAST!	0
  how can you have a protest if you leave when someone tells you?	0
 why would you be outside in a hostile environment priorities f***** up	0
 	0
_Fallon  Stop blaming the victim.	0
_dohak that's why everyone tries to come to America?	0
 So she didn't have enough sense to NOT go to a place of conflict while she was pregnant? Child endangerment methinks. _N0	0
  yep she was shot with a bean bag round when her ex con boyfriend tried to run down police officers  with his car. Sad	0
 don't wanna lose an eyeball?? stayhome putbabyfirst badmommy	0
  how about child endangerment for knowingly attending a potential volatile even while PREGNANT!!!	0
 classactionlawsuitagainstthepolice	0
 shouldnt have been in the riot then	0
   PharrinXchange pharrinxchangeboyz ShatterMirror	0
 I guess that's PROGRESS. They didn't KILL THEM! PIG BASTARDS	0
  victim blaming?	0
  police are out of control.they kkknow they wont be arrested so they attackkk and kkkill without thinking	0
 stay inside	0
  those effing bastards	0
 lmao 😂	0
   jesus...that's a 10 on the derpitude scale!	0
 hey im pregnant and i know riots aren't safe. I'm still going tho.	0
 why were they there in the first place??  Pregnant riding around lol lame.   Poor thing stay with your kids.   Boyfriend???	0
    That's dumb, it's like you're pregnant. Wtf are you doing out and about while riots are going on lol	0
 maybe you should stay home with your baby instead of driving at cops in a riot smh	0
  and why is a pregnant woman at a riot where people are firebombing buildings and looting?	0
 she has 3 left	0
  how awful	0
 Any ideot that gord to a roit pregnet, enuff said,  whers the DCF , save that child from that dope !!!	0
 so it's her fault she exercised her 2nd amendment right?	0
 this is some sad shit, when is it going to end!!!	0
hi everything!! :)ok, hi everyone!jadi, berikut merupakan sedikit informasi untuk mengetahui what is covid-19?seperti yang kita tahu, ini merupakan virus yang paling baru d temukan,dan saat ini kita tengah di masa pandemi.don't underestimate it! lets read✨ 	0
and here, do/does and don't/doesn't 	0
"stay healthy everyone!!iya emang terasa bosan dan jenuh, tapi bersyukurlah di masa ini, kita masi bisa berkumpul dengan keluarga yang di rumah aja!kalo kata dokter nahla ""untuk yg bs d rmh, d rmh aja, untuk yang belum bisa, tetap jaga jarak minimal 2 meter, jgn lpa cuci tgan"" "	0
Why Have There Been More Mass Shootings Under Obama than the 4 Previous Presidents Combined?  	1
  Pick one: Bush's fault, NRA, white privilege, cops, hurt feelings, Fox News, intolerance, Christianity, the GOP	1
 because we are precieved as weak with the pantywaist libs in office	1
 And Clinton's and half of W's were under the assault weapons ban, yet their's were higher than Reagan's.	1
  Because he was born on a Tuesday.	1
BCUZ OBAMA IS A MUSLIM -- MEDIA U CAN STOP HIDING HIS DIRTY UNDERWEAR- DO UR JOB. ELECT SAMM TITTLE  	1
.  It's because Obama leads by example. He is completely lawless, so his peeps know that they can act lawlessly without risk	1
 Possibly because Obama is a race baiting fool who encourages shit like this? blameshannon	1
"  He preaches division and racial hatred. People are seeing ""color"" again. Sick of him"	1
  Wow!	1
  more than all previous presidents combined.  Obviously that is what surrendering to terrorism leads to.	1
 you rock Tabitha	1
  Also record gun sales(which I like)	1
  Obama is turning USA into 3rd world country on purpose so we.know how it feels	1
   You forgot the Koch Bros. Eh, maybe you ran out of 140.	1
  Does it include gangs shootings at each others ?	1
 It's all the racial healing.	1
 Because they know the INJUSTICE Dept. will seldom if ever seek the death penalty. o has released how many terorists from Gitmo	1
  When they changed the definition and terrorist acts went up under Bush, it was Bush's fault.Now not Obama's fault	1
  He did promise change!	1
"  graph those numbers and you'll have a real ""hockey stick"""	1
  Epidemic of prescription anti-depressants and less to do with politics. Interesting stat though.	1
 Because he is enabling  terrorist	1
  more pissed off crazies because of him...	1
" That certainly is ""Fundamentally transforming America"" just like POTUS wants."	1
  In a risk of wearing a tin foil hat to bed, it does make one wonder? Rise in social media? :/	1
  blood transfusing America more like it.	1
  global warming	1
 I'm sure its not by design or some MK ultra type thing.... just a coincidence. Question is, how many more will there be?	1
 _Hammerslag His divisiveness and failures are driving us mad...all according to plan. Blood's on his hands	1
What are the symptoms of COVID-19? The most common symptoms of COVID-19 are: fever, tiredness, dry cough, and body temperature.Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. 	0
Some people become infected but did not develop any symptoms and don't feel ill at the same time. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness.	0
IamNaijaFight2FinishYakinKawardaCovid_19JCINigeriaCOVID19PandemicBeSafeFollow us on all social media for daily updates.	0
Shin Menene Alamomin Kamuwa da Cutar? Mafi yawancin alamomin kamuwa da wannan cuta ta covid-19 sune, Zazzabi, kasala, da busasshen tari.Wasu marasa lafiyar kan samu radadi a jikin su, mura, zubar da majina, kaikayin makogaro da Gudawa.	0
"Wasu mutanen kan kamu da cutar Amma ba wani alama jin wani ciwon jiki.Tsofaffi. Da Kuma wadanda suke da matsala ta lafiya Kamar hawan jini, ciwon zuciya, ko sukari sun fi hadarin samun wannan cuta.""NiNeNajeriaYakinKawardaCovid_19JCINigeriaAnnobarCovid_19"	0
Who can be screened and where? Basically, anyone with travel history to places  where the viral disease (Covid-19)  has being reported. if you have also had contact with someone with travel history to any of such places in recent time. 	0
And, if you notice the symptoms of the COVID-19, do NOT Panic. importantly, do not go to the hospital immediately, just make a call through directly to Centre For Disease Control (NCDC) on their toll free number:  Free Number: 080097000010Whatsapp: +2347087110839	0
IamNaijaFight2FinishYakinKawardaCovid_19JCINigeriaCOVID19PandemicBeSafeFollow us on all social media for daily updates.	0
How does COVID-19 spread?People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales These droplets land on objects	0
and have been implicated in gastroenteritis in infants. A novel coronavirus was identified as the cause of a worldwide outbreak of a Severe Acute Respiratory Syndrome (SARS) in 2003. This outbreak caused by the virus is believed to have originated in Guangdong south China.	0
It predominantly affected mainly China, Hong Kong, Singapore, and Taiwan. Subsequently, this outbreak spread to neighboring countries in Asia, Canada, and the United States.In humans, several coronaviruses are known to cause respiratory infections ranging	0
from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.	0
What is COVID-19?COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019	0
What are the symptoms of COVID-19?The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually.	0
Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing.	0
surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth.	0
People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.	0
World Health Organisation is assessing ongoing research on the ways COVID-19 is spread. 	0
This cartoon is the perfect tribute to Nathan Cirillo OttawaShooting  	0
"... "": This cartoon is the perfect tribute to Nathan Cirillo OttawaShooting  "	0
“:cartoon is perfect tribute toNathanCirillo OttawaShooting    Ontario RT	0
5G mobile networks do not spread COVID-19 – WHO  	0
"_trust We know 5G can't birth viruses, but it's Detrimental to human health. In a nutshell,""The radiation from 5G kills"""	0
_trust If there’s a conspiracy and if Covid 19 is a business who will be part of it.	0
12. What can I do to protect myself and prevent the spread of disease?Protection measures for everyone!Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority.	0
2. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019	0
3. The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually.	0
4. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing.	0
8. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.	0
9. Can the virus that causes COVID-19 be transmitted through the air?Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.  See previous answer on “How does COVID-19 spread?	0
10. Can CoVID-19 be caught from a person who has no symptoms?The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low.	0
11. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.	0
13. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks.	0
13.(A)However, the situation is unpredictable so check regularly for the latest news.You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:	0
13.(B)Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.	0
13. (C)Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus.	0
13. (C)...  If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.	0
Soldier shot at National War Memorial in Ottawa  cdnpoli hw	0
 Time to get snipers out on the roofs. Take him out, no talking!!!	0
RT  Soldier shot at National War Memorial in Ottawa  cdnpoli hw	0
Our thoughts to all those in Ottawa “: Soldier shot at National War Memorial in Ottawa  cdnpoli hw”	0
Gunfire inside Canadian parliament; soldier shot at National War Memorial in Ottawa  cdnpoli 	0
Non-essential services shutdown? Can someone explain to me how  is essential while  is not?	1
  Not to mention why it was essential for the military academies to play their football games...	1
  WarOnChildren	1
 oil trumps life	1
 it probably depends on how the website maint contracts were set-up and where they're feds or contractors running them. (?)	1
 Seems priorities are really fucked up in DC.	1
 Neither has been updated since the shutdown. One just has a splash page letting us know. Shutdown shouldn't happen, though.	1
  my website costs more or takes more time to shut down rather than just let it stay up!	1
 A missing child alert system sounds pretty fucking essential to me.	1
 well of course... This is part of the smoke and mirrors. What can we shut down that will piss off the most people?	1
   They do have bandwidth &amp; electricity costs. Plus many gov sites run on AWS cloud at hourly rates.	1
 I suppose we should simply let YOU decide what's essential and what's not? Fuck you, dude.	1
   It comes from the SpiteHouse	1
. This 	1
 My bud  agrees: 	1
"MT"": Non-essential shutdown? Can someone explain to me how  is essential while  isnt?”"	1
  Yeah, pull the heart strings, wipe tears, and ask for votes.  Throw all the bums out!!!!  Pissed off and Mad about it.	1
 I have the same question about Camp David staying open.	1
Because websites don’t just run on their own.  Someone has to be back behind the curtain or it just shuts off right?  	1
  probably fuel economy site has a different funding source. Car companies, perhaps?	1
 One has to do with money the other just has to human life. We all know what rules politics nowadays.	1
" or why Michelle Obamas ""let's move"" food nanny website is still up?"	1
  Excellent question!	1
" Only 17% of the USG is actually shut down. But Michelle Obama's ""Let's Move"" site is up and running. Almost other no Fed site up."	1
   it all comes down to when funding was awarded. If the contract to run a site is already paid, it will keep running.	1
" Confused fueleconomy clearly states ""may not be updated"" in green text for same reason, though 2nd URL went a little more extreme"	1
 he is an ex race car driver, just because majority doesn't have a clue who he is, doesn't mean nobody does.	0
 And who is he?	0
  Who cares about PaulWalker more than about any victim of driver who's been speeding?	0
 __Yeah or because he drove too fast and killed both of them.	0
The Coronavirus OutbreakAnswers to your most common questions:Updated March 2, 2020What is a coronavirus?It is a novel virus named for the crownlike spikes that protrude from its surface. The coronavirus can infect both animals and people and can	0
and people and can cause a range of respiratory illnesses from the common cold to lung lesions and pneumonia.How contagious is the virus?It seems to spread very easily from person to person, especially in homes, hospitals and other confined spaces.	0
The pathogen can travel through the air, enveloped in tiny respiratory droplets that are produced when a sick person breathes, talks, coughs or sneezes.Where has the virus spread?The virus, which originated in Wuhan, China, has sickened more than 89,700 in	0
at least 67 countries and more than 3,000 have died. The spread has slowed in China, but is picking up speed in Europe and the United States.What symptoms should I look out for?Symptoms, which can take between two to 14 days to appear, include fever, cough	0
and difficulty breathing or shortness of breath. Milder cases may resemble the flu or a bad cold, but people may be able to pass on the virus even before they develop symptoms.How do I keep myself and others safe?Washing your hands frequently is the most	0
the most important thing you can do, along with staying at home when you’re sick and avoiding touching your face.How can I prepare for a possible outbreak?Keep a 30-day supply of essential medicines. Get a flu shot. Have essential household items on hand.	0
Have a support system in place for elderly family members.What if I’m traveling?The C.D.C. has advised against all non-essential travel to South Korea, China, Italy and Iran. And the agency has warned older and at-risk travelers to avoid Japan.	0
How long will it take to develop a treatment or vaccine?Several drugs are being tested, and some initial findings are expected soon. A vaccine to stop the spread is still at least a year away.	0
'Fast and Furious' Cast Mourns Paul Walker's Death 	0
RIP “: 'Fast and Furious' Cast Mourns Paul Walker's Death 	0
 I m so sad about that	0
 R_I_P I'w miss him	0
 =(  rip!!	0
So sad. RT : 'Fast and Furious' Cast Mourns Paul Walker's Death 	0
 It's devastating, Gudnite bro!	0
“: 'Fast and Furious' Cast Mourns Paul Walker's Death  RIPPaulWalker PaulWalker 	0
La convo avec Tyrese (aka Roman Pearce) ouf :-( RT“: 'Fast and Furious' Cast Mourns Paul Walker's Death 	0
Sadness The moment I heard my thought was *here happy 1 moment, gone the next moment.GodspeedPaul	0
 great actor. In peace......	0
iPhone 6 owners claim it's bending in their pockets 	1
“: iPhone 6 owners claim it's bending in their pockets  oh really ?	1
“: iPhone 6 owners claim it's bending in their pockets  this is crazy 😳	1
Uh oh... Bendgate“: iPhone 6 owners claim it's bending in their pockets 	1
 is it made from caramel?	1
“: iPhone 6 owners claim it's bending in their pockets  CARGO PANTS COMEBACK!	1
  I know just the one!	1
 Junk, just high priced Junk....for self- important people...	1
“: iPhone 6 owners claim it's bending in their pockets  it's not just your iPhone 5 _dany  crapple	1
Tight ass pants. RT : iPhone 6 owners claim it's bending in their pockets 	1
“: iPhone 6 owners claim it's bending in their pockets 	1
And I wanted to buy one tomorrow? Ah never mind 😂😂😂😂🙈“: iPhone 6 owners claim it's bending in their pockets 	1
Bendable gbese? “: iPhone 6 owners claim it's bending in their pockets 	1
I would suggest looser pants “: iPhone 6 owners claim it's bending in their pockets 	1
 “: iPhone 6 owners claim it's bending in their pockets 	1
 can't be - I heard Apple is perfect - just ask their passionate followers	1
Ta-da-da-daaan LOL RuhRoh ►: iPhone 6 owners claim it's bending in their pockets 	1
" The Iphone is saying ""Get Bent""!!"	1
Oh dear Apple... “: iPhone 6 owners claim it's bending in their pockets 	1
  actually dying. HOWEVER Brad Pitt was seen wearing cargo pants last week so maybe there's hope ya know	1
Cause sitting on your phone is the smart thing to do.. RT : iPhone 6 owners claim it's bending in their pockets 	1
“: iPhone 6 owners claim it's bending in their pockets 	1
 buy bigger pants 😃	1
“: iPhone 6 owners claim it's bending in their pockets  might just replace my 5 battery...call it a day	1
" All types of ""wrongs"" in this article"	1
Oh snap RT  iPhone 6 owners claim it's bending in their pockets 	1
“: iPhone 6 owners claim it's bending in their pockets  	1
“: iPhone6 owners claim it's bending in their pockets  Apple    	1
Wow! It bends too! “: iPhone 6 owners claim it's bending in their pockets 	1
 Real life .., No claim	1
“: iPhone 6 owners claim it's bending in their pockets  	1
_Santucci “: iPhone 6 owners claim it's bending in their pockets 	1
 Is your iPhone 6 Plus bending in your pocket, or are you just happy to see me? - everyone	1
 iPhone6 beat  with the world's first flexible phone!	1
“: iPhone 6 owners claim it's bending in their pockets Hilarious !!! No fix for that one I bet	1
 oh shit, a flexible screen... ahead of the curve! Lol	1
  Usually objects of that size in your pants are bound to have a little bend to 'em. JustSayin	1
“: “: iPhone 6 owners claim it's bending in their pockets ” might just replace my 5 battery...” 😒 they pants just tight af	1
“: iPhone 6 owners claim it's bending in their pockets  Let's focus on the battery and wifi problems first.	1
“: iPhone 6 owners claim it's bending in their pockets  shit 😁	1
" It's not bending. It's just ""flexing."" "	1
“: iPhone 6 owners claim it's bending in their pockets ΕΤΣΙ &amp; ΥΠΟΨΙΑΣΤΩ ΟΤΙ ΕΙΝΑΙ ΑΛΗΘΕΙΑ .... ΘΑ ΠΕΘΑΝΩ!!!	1
“: iPhone 6 owners claim it's bending in their pockets 	1
 That's brilliant. It fits my bums	1
“: iPhone 6 owners claim it's bending in their pockets    	1
“: iPhone 6 owners claim it's bending in their pockets   cuidado miniiii!	1
Plagiarism is the new virus, what is covid-19? 	0
 Covid got competition now 😂	0
 At least turnitin is a cure for this virus	0
MISCONCEPTIONS 1.) COVID-19 is just like the flu/another strain of the flu. 2.) COVID-19 is not as infectious nor as deadly as the seasonal flu. 3.) Younger individuals should not be worried about the virus.	1
Of greater concern to younger individuals, and in fact everyone should be the expected reemergence of COVID-19 in this coming fall. (4) The reemergence of infectious diseases in the fall typically is accompanied by mutations to the infectious agent enabling it to infect	1
all individuals, young and old and typically more virulent as well.(5) Which brings me to point 4.  4.) The actions mandated by public health officials, schools, and businesses worldwide are by no accounts an overreaction.	1
The prevention of the spread of disease not only helps our health professionals, hospitals, and public health organizations treat individuals, but also decreases risk of mutations in COVID-19 which would be responsible for a reemergence of COVID-19 in the fall able to severely	1
affect all individuals as the more COVID-19 is able to replicate in a host the more likely a beneficial mutation (from perspective of the virus) is to arise. (6) The stopping of the spread of COVID-19 now is CRUCIAL to preventing the spread later, and for protecting the elderly,	1
immunocompromised, and those with pre-existing conditions. It should also be noted that not extending the course of the COVID-19 virus in the population disproportionately affects those of lower socioeconomic statuses and those who are more likely to return to their workplace as	1
a result of financial need leading to increased spread. (7,8)I would never make a claim to be an expert on this topic, and I applaud and look up to those who have spent their lives conducting research on infectious diseases.	1
I am, however, passionate about this particular area of science and passionate about education and educating the general public about infectious diseases. I highly encourage everyone of you to do your research, educate yourself on how you can best help yourself, your family,	1
and your community. The efforts to stop the spread of this disease begin on the individual level and are part of a global effort. The actions of individuals today will have resounding impacts in months and years to come.	1
I urge you to be safe and think of others in addition to yourself. REFERENCES1)2)3) 4) 5)	1
6) 7)8)	1
What are the symptoms of COVID-19? Is COVID-19 airborne? Here are the answers to your biggest questions about the coronavirus pandemic 	0
 I think coronavirus is airborne	0
 Doesn’t load properly. Please fix.	0
 Initially it's exhaled water droplets which can be inhaled or by transferance from surfaces.The virus can survive on anything except copper and live up to three days.	0
 1st pic looks like a wojack	0
 Coronavirus...206K deaths As of todayFor comparison ....	0
  That's flu deaths without lockdowns.. without lockdown Covid deaths would be at least a million by now.. and that's only few months..	0
 Check out my Gig on Fiverr: do amazon product listing image and photo editing 	0
As we reopen Ohio, people will have to be very, very careful until we get a vaccine. You'll have to weigh benefit vs. risk. You will have to make sure you're wearing a mask when you go out, continue social distancing, etc. COVID19 is not going away until we get a vaccine.	0
 All y’all responding that it’s YOUR choice he’s not talking about just you. Of course you can make the decision to take the risk but if you get sick it’s not just “your problem.” If the hospitals get overwhelmed that’s HIS PROBLEM.	0
 If you end up hospitalized and the nurse who takes care of you catches it and can’t work to help save others or worse yet becomes gravely ill or dies because of you is that still not “your problem!?” WHY CANT WE AS HUMANS care about others more than ourselves?	0
  YOU’RE RIGHT! Numbers don’t lie! I guess I’m just confused where you are getting YOUR numbers... 	0
15. Drinking alcohol does not protect you against COVID-19 and can be dangerous 	0
14. COVID-19 virus can be transmitted in areas with hot and humid climates 	0
16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. 	0
17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. 	0
18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) 	0
19. 5G mobile networks DO NOT spread COVID-19 	0
Cold weather and snow CANNOT kill the new coronavirus.There is no reason to believe that cold weather can kill the new coronavirus or other diseases. The normal human body temperature remains around 36.5°C to 37°C, regardless of the external temperature or weather.	0
