sentence	label
"A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  “: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  On : Bugatti Veyron Gold digger surprise prank!!  SavedYouAClick boo spray can: 10usd cleaning: 250 used social media reach: priceless That is horrible! I would definitely try to find out who did that and press charges! Way to nice of a vehicle! ""scum... sub human scum""😛 😌 “: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  “: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  “: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.   Yeah but the prick in the driver's seat is totally real.Ugh “: A penis spray-painted on a $2.5 million Bugatti was just for a prank video.  "	1
Translucent butterfly - beautiful! ' 	1
"A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson:    Poor girl, How people can be so bad!? May she get better 🙏 WOW SMH ☝️☝️   Mixtape] Big Freeze &amp; G Nice - No Sleep Gang 2 (Reloaded)     dmv Annapolis maryland nosleepgang that's fucked up  Tragic_dohak  you need to get beheaded moron  im betting that she regrets being amidst the chaos. bad choices.... why is a pregnant women in a riot in Ferguson??? You guys are known for making people sad &amp; angry!  So what, she is just another black girl,who cares about blacks in USA.To white's, blacks were slaves and still are.shm maybe she shouldn't have been in the middle of the riot! I sure don't feel sorry for her! PettyTW “: A pregnant woman has lost her eye after being shot with bean bag by police in Ferguson:  ”  Fred Sanford ""YOU BIG DUMMY "" mother fucking police. Land of the free more land of the nazi. Obama listen to your people : vito a m, why for ? the question is why can the police get away with anything??? police brutality at its best. she shouldn't of been out  there protesting. 😔😔😔🙏🙏💪 but did she die ?  probably shouldn't have been there to riot  What difference does it make dip shirt... maybe don't go to a violent protest if you're pregnant? Shouldn't of been rioting/looting I'm thinkn this is possibly fake  you should ban this shit. In Spain several people have lost their eyes or even die because of that  Police suck! Criminals with a badge I don't know why he drove toward them. Shooting the tires &amp;not gas tank would've been the better course of action God bless them  WE PRAY THE SISTER RECOVERS FAST!  how can you have a protest if you leave when someone tells you? why would you be outside in a hostile environment priorities f***** up _Fallon  Stop blaming the victim._dohak that's why everyone tries to come to America? So she didn't have enough sense to NOT go to a place of conflict while she was pregnant? Child endangerment methinks. _N0  yep she was shot with a bean bag round when her ex con boyfriend tried to run down police officers  with his car. Sad don't wanna lose an eyeball?? stayhome putbabyfirst badmommy  how about child endangerment for knowingly attending a potential volatile even while PREGNANT!!! classactionlawsuitagainstthepolice shouldnt have been in the riot then   PharrinXchange pharrinxchangeboyz ShatterMirror I guess that's PROGRESS. They didn't KILL THEM! PIG BASTARDS  victim blaming?  police are out of control.they kkknow they wont be arrested so they attackkk and kkkill without thinking stay inside  those effing bastards lmao 😂   jesus...that's a 10 on the derpitude scale! hey im pregnant and i know riots aren't safe. I'm still going tho. why were they there in the first place??  Pregnant riding around lol lame.   Poor thing stay with your kids.   Boyfriend???    That's dumb, it's like you're pregnant. Wtf are you doing out and about while riots are going on lol maybe you should stay home with your baby instead of driving at cops in a riot smh  and why is a pregnant woman at a riot where people are firebombing buildings and looting? she has 3 left  how awful Any ideot that gord to a roit pregnet, enuff said,  whers the DCF , save that child from that dope !!! so it's her fault she exercised her 2nd amendment right? this is some sad shit, when is it going to end!!!"	0
"hi everything!! :)ok, hi everyone!jadi, berikut merupakan sedikit informasi untuk mengetahui what is covid-19?seperti yang kita tahu, ini merupakan virus yang paling baru d temukan,dan saat ini kita tengah di masa pandemi.don't underestimate it! lets read✨ and here, do/does and don't/doesn't stay healthy everyone!!iya emang terasa bosan dan jenuh, tapi bersyukurlah di masa ini, kita masi bisa berkumpul dengan keluarga yang di rumah aja!kalo kata dokter nahla ""untuk yg bs d rmh, d rmh aja, untuk yang belum bisa, tetap jaga jarak minimal 2 meter, jgn lpa cuci tgan"" "	0
"Why Have There Been More Mass Shootings Under Obama than the 4 Previous Presidents Combined?    Pick one: Bush's fault, NRA, white privilege, cops, hurt feelings, Fox News, intolerance, Christianity, the GOP because we are precieved as weak with the pantywaist libs in office And Clinton's and half of W's were under the assault weapons ban, yet their's were higher than Reagan's.  Because he was born on a Tuesday.BCUZ OBAMA IS A MUSLIM -- MEDIA U CAN STOP HIDING HIS DIRTY UNDERWEAR- DO UR JOB. ELECT SAMM TITTLE  .  It's because Obama leads by example. He is completely lawless, so his peeps know that they can act lawlessly without risk Possibly because Obama is a race baiting fool who encourages shit like this? blameshannon  He preaches division and racial hatred. People are seeing ""color"" again. Sick of him  Wow!  more than all previous presidents combined.  Obviously that is what surrendering to terrorism leads to. you rock Tabitha  Also record gun sales(which I like)  Obama is turning USA into 3rd world country on purpose so we.know how it feels   You forgot the Koch Bros. Eh, maybe you ran out of 140.  Does it include gangs shootings at each others ? It's all the racial healing. Because they know the INJUSTICE Dept. will seldom if ever seek the death penalty. o has released how many terorists from Gitmo  When they changed the definition and terrorist acts went up under Bush, it was Bush's fault.Now not Obama's fault  He did promise change!  graph those numbers and you'll have a real ""hockey stick""  Epidemic of prescription anti-depressants and less to do with politics. Interesting stat though. Because he is enabling  terrorist  more pissed off crazies because of him... That certainly is ""Fundamentally transforming America"" just like POTUS wants.  In a risk of wearing a tin foil hat to bed, it does make one wonder? Rise in social media? :/  blood transfusing America more like it.  global warming I'm sure its not by design or some MK ultra type thing.... just a coincidence. Question is, how many more will there be? _Hammerslag His divisiveness and failures are driving us mad...all according to plan. Blood's on his hands"	1
"What are the symptoms of COVID-19? The most common symptoms of COVID-19 are: fever, tiredness, dry cough, and body temperature.Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. Some people become infected but did not develop any symptoms and don't feel ill at the same time. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness.IamNaijaFight2FinishYakinKawardaCovid_19JCINigeriaCOVID19PandemicBeSafeFollow us on all social media for daily updates.Shin Menene Alamomin Kamuwa da Cutar? Mafi yawancin alamomin kamuwa da wannan cuta ta covid-19 sune, Zazzabi, kasala, da busasshen tari.Wasu marasa lafiyar kan samu radadi a jikin su, mura, zubar da majina, kaikayin makogaro da Gudawa.Wasu mutanen kan kamu da cutar Amma ba wani alama jin wani ciwon jiki.Tsofaffi. Da Kuma wadanda suke da matsala ta lafiya Kamar hawan jini, ciwon zuciya, ko sukari sun fi hadarin samun wannan cuta.""NiNeNajeriaYakinKawardaCovid_19JCINigeriaAnnobarCovid_19Who can be screened and where? Basically, anyone with travel history to places  where the viral disease (Covid-19)  has being reported. if you have also had contact with someone with travel history to any of such places in recent time. And, if you notice the symptoms of the COVID-19, do NOT Panic. importantly, do not go to the hospital immediately, just make a call through directly to Centre For Disease Control (NCDC) on their toll free number:  Free Number: 080097000010Whatsapp: +2347087110839IamNaijaFight2FinishYakinKawardaCovid_19JCINigeriaCOVID19PandemicBeSafeFollow us on all social media for daily updates."	0
How does COVID-19 spread?People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales These droplets land on objectsand have been implicated in gastroenteritis in infants. A novel coronavirus was identified as the cause of a worldwide outbreak of a Severe Acute Respiratory Syndrome (SARS) in 2003. This outbreak caused by the virus is believed to have originated in Guangdong south China.It predominantly affected mainly China, Hong Kong, Singapore, and Taiwan. Subsequently, this outbreak spread to neighboring countries in Asia, Canada, and the United States.In humans, several coronaviruses are known to cause respiratory infections rangingfrom the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.What is COVID-19?COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019What are the symptoms of COVID-19?The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually.Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing.surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth.People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.World Health Organisation is assessing ongoing research on the ways COVID-19 is spread. 	0
"This cartoon is the perfect tribute to Nathan Cirillo OttawaShooting  ... "": This cartoon is the perfect tribute to Nathan Cirillo OttawaShooting  “:cartoon is perfect tribute toNathanCirillo OttawaShooting    Ontario RT"	0
"5G mobile networks do not spread COVID-19 – WHO  _trust We know 5G can't birth viruses, but it's Detrimental to human health. In a nutshell,""The radiation from 5G kills""_trust If there’s a conspiracy and if Covid 19 is a business who will be part of it."	0
12. What can I do to protect myself and prevent the spread of disease?Protection measures for everyone!Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority.2. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 20193. The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually.4. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing.8. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.9. Can the virus that causes COVID-19 be transmitted through the air?Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.  See previous answer on “How does COVID-19 spread?10. Can CoVID-19 be caught from a person who has no symptoms?The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low.11. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.13. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks.13.(A)However, the situation is unpredictable so check regularly for the latest news.You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:13.(B)Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.13. (C)Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus.13. (C)...  If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.	0
Soldier shot at National War Memorial in Ottawa  cdnpoli hw Time to get snipers out on the roofs. Take him out, no talking!!!RT  Soldier shot at National War Memorial in Ottawa  cdnpoli hwOur thoughts to all those in Ottawa “: Soldier shot at National War Memorial in Ottawa  cdnpoli hw”Gunfire inside Canadian parliament; soldier shot at National War Memorial in Ottawa  cdnpoli 	0
"Non-essential services shutdown? Can someone explain to me how  is essential while  is not?  Not to mention why it was essential for the military academies to play their football games...  WarOnChildren oil trumps life it probably depends on how the website maint contracts were set-up and where they're feds or contractors running them. (?) Seems priorities are really fucked up in DC. Neither has been updated since the shutdown. One just has a splash page letting us know. Shutdown shouldn't happen, though.  my website costs more or takes more time to shut down rather than just let it stay up! A missing child alert system sounds pretty fucking essential to me. well of course... This is part of the smoke and mirrors. What can we shut down that will piss off the most people?   They do have bandwidth &amp; electricity costs. Plus many gov sites run on AWS cloud at hourly rates. I suppose we should simply let YOU decide what's essential and what's not? Fuck you, dude.   It comes from the SpiteHouse. This  My bud  agrees: MT"": Non-essential shutdown? Can someone explain to me how  is essential while  isnt?”  Yeah, pull the heart strings, wipe tears, and ask for votes.  Throw all the bums out!!!!  Pissed off and Mad about it. I have the same question about Camp David staying open.Because websites don’t just run on their own.  Someone has to be back behind the curtain or it just shuts off right?    probably fuel economy site has a different funding source. Car companies, perhaps? One has to do with money the other just has to human life. We all know what rules politics nowadays. or why Michelle Obamas ""let's move"" food nanny website is still up?  Excellent question! Only 17% of the USG is actually shut down. But Michelle Obama's ""Let's Move"" site is up and running. Almost other no Fed site up.   it all comes down to when funding was awarded. If the contract to run a site is already paid, it will keep running. Confused fueleconomy clearly states ""may not be updated"" in green text for same reason, though 2nd URL went a little more extreme"	1
 he is an ex race car driver, just because majority doesn't have a clue who he is, doesn't mean nobody does. And who is he?  Who cares about PaulWalker more than about any victim of driver who's been speeding? __Yeah or because he drove too fast and killed both of them.	0
The Coronavirus OutbreakAnswers to your most common questions:Updated March 2, 2020What is a coronavirus?It is a novel virus named for the crownlike spikes that protrude from its surface. The coronavirus can infect both animals and people and canand people and can cause a range of respiratory illnesses from the common cold to lung lesions and pneumonia.How contagious is the virus?It seems to spread very easily from person to person, especially in homes, hospitals and other confined spaces.The pathogen can travel through the air, enveloped in tiny respiratory droplets that are produced when a sick person breathes, talks, coughs or sneezes.Where has the virus spread?The virus, which originated in Wuhan, China, has sickened more than 89,700 inat least 67 countries and more than 3,000 have died. The spread has slowed in China, but is picking up speed in Europe and the United States.What symptoms should I look out for?Symptoms, which can take between two to 14 days to appear, include fever, coughand difficulty breathing or shortness of breath. Milder cases may resemble the flu or a bad cold, but people may be able to pass on the virus even before they develop symptoms.How do I keep myself and others safe?Washing your hands frequently is the mostthe most important thing you can do, along with staying at home when you’re sick and avoiding touching your face.How can I prepare for a possible outbreak?Keep a 30-day supply of essential medicines. Get a flu shot. Have essential household items on hand.Have a support system in place for elderly family members.What if I’m traveling?The C.D.C. has advised against all non-essential travel to South Korea, China, Italy and Iran. And the agency has warned older and at-risk travelers to avoid Japan.How long will it take to develop a treatment or vaccine?Several drugs are being tested, and some initial findings are expected soon. A vaccine to stop the spread is still at least a year away.	0
'Fast and Furious' Cast Mourns Paul Walker's Death RIP “: 'Fast and Furious' Cast Mourns Paul Walker's Death  I m so sad about that R_I_P I'w miss him =(  rip!!So sad. RT : 'Fast and Furious' Cast Mourns Paul Walker's Death  It's devastating, Gudnite bro!“: 'Fast and Furious' Cast Mourns Paul Walker's Death  RIPPaulWalker PaulWalker La convo avec Tyrese (aka Roman Pearce) ouf :-( RT“: 'Fast and Furious' Cast Mourns Paul Walker's Death Sadness The moment I heard my thought was *here happy 1 moment, gone the next moment.GodspeedPaul great actor. In peace......	0
"iPhone 6 owners claim it's bending in their pockets “: iPhone 6 owners claim it's bending in their pockets  oh really ?“: iPhone 6 owners claim it's bending in their pockets  this is crazy 😳Uh oh... Bendgate“: iPhone 6 owners claim it's bending in their pockets  is it made from caramel?“: iPhone 6 owners claim it's bending in their pockets  CARGO PANTS COMEBACK!  I know just the one! Junk, just high priced Junk....for self- important people...“: iPhone 6 owners claim it's bending in their pockets  it's not just your iPhone 5 _dany  crappleTight ass pants. RT : iPhone 6 owners claim it's bending in their pockets “: iPhone 6 owners claim it's bending in their pockets And I wanted to buy one tomorrow? Ah never mind 😂😂😂😂🙈“: iPhone 6 owners claim it's bending in their pockets Bendable gbese? “: iPhone 6 owners claim it's bending in their pockets I would suggest looser pants “: iPhone 6 owners claim it's bending in their pockets  “: iPhone 6 owners claim it's bending in their pockets  can't be - I heard Apple is perfect - just ask their passionate followersTa-da-da-daaan LOL RuhRoh ►: iPhone 6 owners claim it's bending in their pockets  The Iphone is saying ""Get Bent""!!Oh dear Apple... “: iPhone 6 owners claim it's bending in their pockets   actually dying. HOWEVER Brad Pitt was seen wearing cargo pants last week so maybe there's hope ya knowCause sitting on your phone is the smart thing to do.. RT : iPhone 6 owners claim it's bending in their pockets “: iPhone 6 owners claim it's bending in their pockets  buy bigger pants 😃“: iPhone 6 owners claim it's bending in their pockets  might just replace my 5 battery...call it a day All types of ""wrongs"" in this articleOh snap RT  iPhone 6 owners claim it's bending in their pockets “: iPhone 6 owners claim it's bending in their pockets  “: iPhone6 owners claim it's bending in their pockets  Apple    Wow! It bends too! “: iPhone 6 owners claim it's bending in their pockets  Real life .., No claim“: iPhone 6 owners claim it's bending in their pockets  _Santucci “: iPhone 6 owners claim it's bending in their pockets  Is your iPhone 6 Plus bending in your pocket, or are you just happy to see me? - everyone iPhone6 beat  with the world's first flexible phone!“: iPhone 6 owners claim it's bending in their pockets Hilarious !!! No fix for that one I bet oh shit, a flexible screen... ahead of the curve! Lol  Usually objects of that size in your pants are bound to have a little bend to 'em. JustSayin“: “: iPhone 6 owners claim it's bending in their pockets ” might just replace my 5 battery...” 😒 they pants just tight af“: iPhone 6 owners claim it's bending in their pockets  Let's focus on the battery and wifi problems first.“: iPhone 6 owners claim it's bending in their pockets  shit 😁 It's not bending. It's just ""flexing."" “: iPhone 6 owners claim it's bending in their pockets ΕΤΣΙ &amp; ΥΠΟΨΙΑΣΤΩ ΟΤΙ ΕΙΝΑΙ ΑΛΗΘΕΙΑ .... ΘΑ ΠΕΘΑΝΩ!!!“: iPhone 6 owners claim it's bending in their pockets  That's brilliant. It fits my bums“: iPhone 6 owners claim it's bending in their pockets    “: iPhone 6 owners claim it's bending in their pockets   cuidado miniiii!"	1
Plagiarism is the new virus, what is covid-19?  Covid got competition now 😂 At least turnitin is a cure for this virus	0
MISCONCEPTIONS 1.) COVID-19 is just like the flu/another strain of the flu. 2.) COVID-19 is not as infectious nor as deadly as the seasonal flu. 3.) Younger individuals should not be worried about the virus.Of greater concern to younger individuals, and in fact everyone should be the expected reemergence of COVID-19 in this coming fall. (4) The reemergence of infectious diseases in the fall typically is accompanied by mutations to the infectious agent enabling it to infectall individuals, young and old and typically more virulent as well.(5) Which brings me to point 4.  4.) The actions mandated by public health officials, schools, and businesses worldwide are by no accounts an overreaction.The prevention of the spread of disease not only helps our health professionals, hospitals, and public health organizations treat individuals, but also decreases risk of mutations in COVID-19 which would be responsible for a reemergence of COVID-19 in the fall able to severelyaffect all individuals as the more COVID-19 is able to replicate in a host the more likely a beneficial mutation (from perspective of the virus) is to arise. (6) The stopping of the spread of COVID-19 now is CRUCIAL to preventing the spread later, and for protecting the elderly,immunocompromised, and those with pre-existing conditions. It should also be noted that not extending the course of the COVID-19 virus in the population disproportionately affects those of lower socioeconomic statuses and those who are more likely to return to their workplace asa result of financial need leading to increased spread. (7,8)I would never make a claim to be an expert on this topic, and I applaud and look up to those who have spent their lives conducting research on infectious diseases.I am, however, passionate about this particular area of science and passionate about education and educating the general public about infectious diseases. I highly encourage everyone of you to do your research, educate yourself on how you can best help yourself, your family,and your community. The efforts to stop the spread of this disease begin on the individual level and are part of a global effort. The actions of individuals today will have resounding impacts in months and years to come.I urge you to be safe and think of others in addition to yourself. REFERENCES1)2)3) 4) 5)6) 7)8)	1
What are the symptoms of COVID-19? Is COVID-19 airborne? Here are the answers to your biggest questions about the coronavirus pandemic  I think coronavirus is airborne Doesn’t load properly. Please fix. Initially it's exhaled water droplets which can be inhaled or by transferance from surfaces.The virus can survive on anything except copper and live up to three days. 1st pic looks like a wojack Coronavirus...206K deaths As of todayFor comparison ....  That's flu deaths without lockdowns.. without lockdown Covid deaths would be at least a million by now.. and that's only few months.. Check out my Gig on Fiverr: do amazon product listing image and photo editing 	0
As we reopen Ohio, people will have to be very, very careful until we get a vaccine. You'll have to weigh benefit vs. risk. You will have to make sure you're wearing a mask when you go out, continue social distancing, etc. COVID19 is not going away until we get a vaccine. All y’all responding that it’s YOUR choice he’s not talking about just you. Of course you can make the decision to take the risk but if you get sick it’s not just “your problem.” If the hospitals get overwhelmed that’s HIS PROBLEM. If you end up hospitalized and the nurse who takes care of you catches it and can’t work to help save others or worse yet becomes gravely ill or dies because of you is that still not “your problem!?” WHY CANT WE AS HUMANS care about others more than ourselves?  YOU’RE RIGHT! Numbers don’t lie! I guess I’m just confused where you are getting YOUR numbers... 	0
15. Drinking alcohol does not protect you against COVID-19 and can be dangerous 14. COVID-19 virus can be transmitted in areas with hot and humid climates 16. Being able to hold your breath for 10 seconds or more without coughing or feeling discomfort DOES NOT mean you are free from the coronavirus disease (COVID-19) or any other lung disease. 17. You can recover from the coronavirus disease (COVID-19). Catching the new coronavirus DOES NOT mean you will have it for life. 18. Exposing yourself to the sun or to temperatures higher than 25C degrees DOES NOT prevent the coronavirus disease (COVID-19) 19. 5G mobile networks DO NOT spread COVID-19 	0
